Francais,Ernestien,Etymologie

marmite,obelîks,
chaudron,obelîks,
vide,obarêg,vide ⇒ {\backslash}emptyset ⇒ o barré
résistance,ôm,Ω
End (Minecraft),omegô,
fin,omegâ,de l'alpha à l'omega{\comma} \emph{à posteriori} on n'a pas eu faim au méga
caverne,omdeô,car Homme des carvernes
creaking (Minecraft),omvoaomvoaplû,on me voit on m'voit plus
accent circonflexe,odform,comme "chapeau" mais sans accent circonflexe pour éviter une définition récursive
chapeau,odfôrm,
chameau,okamêl,
zéro,ôz,
lettre,opiedlâ,car au pied de la lettre 
outil,ôl,
carotte,olâf,
être,ê,
résumé,enbrêf,
fondement,enpalê,car dans \emph{Gargantua}{\comma} un soldat se fait empaler par le fondement
fondamental,enpalêg,
école,êns,
seau,emeljê,ref. "MLG"
donc,êk,
en{\comma} fait de,êf,
algue,efkâtr,alg F4
maison,etô,E.T. téléphone maison
référence,etimolojî,car l'étymologie ernestienne comporte de nombreuses références
bibliographie,etimolojisekriî,car ce sont les textes de références
français (langue),etiminbûch,
signature,epsilôn,voir un cours d'algèbre
signer,epsilonûz,
poisson,êrn,"Ernest" signifie meilleur des poissons
Ernestie,Ernestô,ernest+ô
ernestien (relatif à l'Erenstie),ernestôg,
ernestien (langue),ernestinbûch,
entonnoir,eglueglû,
évolution,ês,car évolution = é + volution = é + convolution - con = \begin{ernestienenv}ê\end{ernestienenv} + \begin{ernestienenv}luîs\end{ernestienenv} - \begin{ernestienenv}luî\end{ernestienenv} = \begin{ernestienenv}ês\end{ernestienenv}
grenouille,esî,ref. cours de SI{\comma} grande source d'inspiration de dessin de grenouille de Alice du XXIème siècle
esperanto,esperinbûch,
Esperlando,esperlandô,
salut,iô,
écho,iôdl,
bonjour,iolô,
pain,iajamê,car il n'y a jamais assez de pain au NIR3
hache,ijikâ,H I J K
en,în,
dans,în,
langue,inbûch,car la langue est dans la bouche
virtuel,inmatêg,car ça n'existe que dans ma tête
horloge,indirêkt,car les horloges tournent à l'envers
hôte,ingêr,ref. à Hostinger
dragon,imajîn,
si,îf,
égal (symbole),îz,
égal (logique),izôg,
image,isiêl,de \begin{ernestientrad}i\end{ernestientrad} et \begin{ernestientrad}siêl\end{ernestientrad}
avoir,â,
ou (exclusif),aô,
et,aê,
ou (inclusif),aû,
