Francais,Ernestien,Etymologie

abeille,maiâ,ref. Maya l'Abeille
accent circonflexe,odform,comme "chapeau" mais sans accent circonflexe pour éviter une définition récursive
addition,bataî,voir somme
agriculteur,lalalalâ,
aimer,tchebichê,car j'ai Bienaymé Tchebychev
alambic,majikôl,
alcool,pârt,
algorithme,turîn,de Alan Turing
algorithmique,turîng,
algue,efkâtr,alg F4
allay (Minecraft),bleî,
alors,zên,
ambassade,lezamô,car c'est le lieu des copaings
ambassadeur,lezamôgz,
améthyste,jonestrûnz,litt. caillou violet
âne,debretân,
animal,lenanîm,"les nanimaux"
annexe (48 rue d'Ulm),poloniô,
annexe,poloniê,car on annexe la Pologne
annulaire,mazuîsk,
application (maths),lojisiêl,
arbalète,avatarpiû,
arbre,asîkl,
arc,trofôr,l'arc est trop fort dans Minecraft
archer,troforlâ,
argile,arlelûch,argile ⇒ ar + Gîles ⇒ ar + Lelouche
armadillo,filelaskâl,litt. Armure mignone
armure,laskâl,armure ⇒ art mur ⇒ lascaux ⇒ un lascal des lacaux
arraignée,uipât,8 pattes
article (de journal),lelalê,de le{\comma} la{\comma} les
article défini,zî,
assiette,plât,de \emph{plate}
autre,boterôg,ref. Pierre Bottero
avant,mulîn,car moulin à vent
avec,kôn,
avoir,â,
axolotl,tenochtîtl,les axolotls sont endémiques de Tenochtitlan
baguette,uiuî,
baie,tkomsepiê,bêt comme ses pieds
bambou,pedeefbonâ,
banane,tchilikonkarnê,car \emph{banane} et \emph{chili con carne} sont mao-règlement équivalents
bas,alôr,bah alors
bateau,santiân,
bâton,segrâv,bâton ⇒ ton bas ⇒ c'est grave
betrave,umûs,en référence à un fameux houmous du NIR3 du XXIème siècle
bibliographie,etimolojisekriî,car ce sont les textes de références
blanc,ketvôg,blanquette de veau (comment est votre blanquette ?)
blaze (Minecraft),aleîz,
bleu,dovêrg,ref. Bleu d'Auvergne
bloc,paspâ,quand ça bloque ça passe pas
BOcal,bokâl,
Bogged (Minecraft),anôf,
boire,flûz,
bois,boaboâ,
boîte,denuî,
bol,flubonaôl,objet de la soupe
bonjour,iolô,
boule,rîts,ref. théorème de Riesz
bouleau (arbre),chomajasîkl,arbre + travail
boussole,nôr,la boussole indique le nord
bouteille,alamêr,
bras,kêt,bracket
breeze (Minecraft),alîz,Aliz briz
brillant,kartmultîg,car la carte multipfonction coupe le brie
brique,abrâk,
briquet,sabrulôl,outil de feu
bug,chokolâ,demander à Hugo
Burô,burô,
cabillaud ,dlarutêrn,cabillo ⇒ cod ⇒ code de la route (+ern car c'est un poisson)
cacao,kubâ,ref. à la blague "Pourquoi il n'y a pas de chocolat à Cuba ?"
cadre,rîch,
caillou,strûnz,ref. à la classification de Strunz
canard,pedalôs,ref. à \emph{OSS 117}
cane à pêche,petipatapôl,outil de pêche
carotte,olâf,
carré (exposant 2),chazuîsk,
carte,varietê,ref. à l'algèbre
casque,zizulaskâl,litt. armure de tête
cassé,brîsg,
casser,brîs,Brice de Nice
casserole,kasrôl,
catégorie,pokêm,voir type
caverne,omdeô,car Homme des carvernes
ce,zîs,
centre commercial,chatlê,
cerise,sakurâ,
chameau,okamêl,
champignon,majemoâ,
champimeuh,muuujemoâ,
champs,lalalâ,
chapeau,odfôrm,
chapitre,bukinplulâ,
charbon,dboâ,charbon de bois
chat,tufebiên,tu fais bien le chat
chaudron,obelîks,
chaussette,tiruâr,
chaussure,chasakûr,demander au frère d'Hugo
chauve,kipêg,ref. chauve qui peut
chauve-souris,kipevêrt,
chef,kapût,chef ⇒ tête ⇒ kaput
chemin,lekorîst,
chêne,telê,chêne ⇒ chaine ⇒ télé
cheval,pataklôp,réf à Pataclop
chèvre,vebêr,de Francis Veber{\comma} réalisateur du film \emph{La Chèvre}
chien,jakjâk,toutou voir \begin{ernestientrad}jâk\end{ernestientrad}
chimie,bumôn,de \begin{ernestienenv}bum\end{ernestienenv} (explosion)
choisir,mezîr,ref. à Choimet
ciel,plafô,
cinq,châz,ref. à l'ordre alphabétique
citoyen honoraire carré,vioglibrêgz ranjjâz,
citoyen honoraire,vioglibrêgz,
citoyen permanent,librêgz,
citoyen,unîgz,
citoyenneté,unigzêf,
clair,meuîg,Mais oui c'est clair
clavier,jakkulê,de \begin{ernestienenv}jâk\end{ernestienenv} (tout) et \begin{ernestienenv}kulê\end{ernestienenv} (touche)
cloche,tetdê,
cochon,arbûr,cochon ⇒ porc ⇒ port ⇒ harbour
cochon,chrûk,ref. à Chruk
coeur,laîr,car le valet de coeur
coffre,poatrîn,car en anglais coffre et poitrine se disent pareil
coller,kopiê,
commande,fesî,"fait ci !"
commencer,chapopontû,
commissaire,fontkapût,
commun,marksêg,
communauté,mârks,
comptine,vivifôn,
con,luî,de Louis Houlès{\comma} grand con(volutionneur) du XXIème siècle
concave,banâg,
concavité,banâ,
concombre,luiluîbr,
confère,metalpasmârt,con + fer
connaissance,uijesêf,
connaître,uijesê,de "oui je sais"
conseiller constitutionnel,biblêgz,
constitution,bîbl,car texte sacré
constitutionnel,biblêg,
contenir,luichandêl,con + tenir
continu,vivifonûg,
continuité,vivifonû,
contraire (préfixe),mal--,
convexe,mujûg,
convexité,mujû,
convolution,luîs,
cookie,aksêpt,
cool,tanîg,car le Titanic il a coolé
coolitude,tanîk,car le Titanic coole
copain,lezâm,pour faire \begin{ernestientrad}lezamî\end{ernestientrad} au pluriel
copier,kolê,
coquille,sanjâk,Coquilles Saint-Jaques
corne,mûz,cornemuse
