poll_id;message_id;question;proportion;type;author_id;channel_id;guild_id;timestamp;duration;closed;votes
7;1445557856786186253;"q";0.5;"l";1283005952509087755;1443973512636399777;1424789525493973066;1764718250;604800;1;767059570710413384,452502457684197399,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:n,826362651324055572,386892659442057221,946442002558492692,692717393503453284:n,1292762566606585858,779843063131930694,1365387648080023572,947480095730315285,778605583988817971,414505451523276810,670687441291706368,688394725237063774,639915550289428510,290399324217802753,690595764900200570,518833508983111691,516631614319624193,1395746373139431565,322762034007638017,756865029067898960:o,581187099252752395,626799515688763410,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100
8;1445574067137810513;"question 2";0.5;"l";1283005952509087755;1443973512636399777;1424789525493973066;1764722114;604800;1;767059570710413384,452502457684197399,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694,1365387648080023572,947480095730315285,778605583988817971,414505451523276810,670687441291706368,688394725237063774,639915550289428510,290399324217802753,690595764900200570,518833508983111691,516631614319624193,1395746373139431565,322762034007638017,756865029067898960:o,581187099252752395,626799515688763410,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100
9;1445806125495750749;"test";0.5;"l";756865029067898960;1443973512636399777;1424789525493973066;1764777441;604800;1;767059570710413384,452502457684197399,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,692717393503453284:o,1292762566606585858,779843063131930694,1365387648080023572,886202091222233128:o,947480095730315285,778605583988817971,414505451523276810,670687441291706368,688394725237063774,639915550289428510,290399324217802753,690595764900200570,518833508983111691,516631614319624193,1395746373139431565,322762034007638017,756865029067898960:n,581187099252752395,626799515688763410,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100
10;1446253365297283125;"q";0.5;"l";1283005952509087755;1446235846520078426;1424789525493973066;1764884072;604800;1;767059570710413384,452502457684197399,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,692717393503453284:n,1292762566606585858,779843063131930694,1365387648080023572,947480095730315285,778605583988817971,414505451523276810,670687441291706368,688394725237063774,639915550289428510,290399324217802753,690595764900200570,518833508983111691,516631614319624193,1395746373139431565,322762034007638017,756865029067898960:o,581187099252752395,626799515688763410,689192821944877057,330333692008464385,568441353231400960,777127599569633310,442350609174233100
12;1449763893755904122;"Souhaitez-vous l'adoption des "Révisions constitutionnelles XV - Dénomination des citoyens permanents" ?";0.75;"r";1283005952509087755;1424830966287044678;1424789525493973066;1765721047;604800;1;767059570710413384:b,452502457684197399:b,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285,778605583988817971:o,670687441291706368:b,688394725237063774:o,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655:b,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:b,777127599569633310:o,442350609174233100:o,376057817720815628,1405844093237465089:o
13;1449767131305480262;"Souhaitez-vous l'adoption des "Révisions constitutionnelles XVI - Statut municipal" ?";0.75;"r";1283005952509087755;1424830966287044678;1424789525493973066;1765721819;604800;1;767059570710413384,452502457684197399:o,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:b,1365387648080023572,947480095730315285,778605583988817971:o,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:n,581187099252752395,1127299739017285655,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:o,777127599569633310:o,442350609174233100:n,376057817720815628:o,1405844093237465089
14;1449768628256768165;"Souhaitez-vous l'adoption du Code général communal ?";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1765722176;604800;1;767059570710413384,452502457684197399:b,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:b,1365387648080023572,947480095730315285,778605583988817971:o,670687441291706368,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:n,581187099252752395,1127299739017285655,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:b,777127599569633310:o,442350609174233100:o,376057817720815628,1405844093237465089:o
15;1449769954726379611;"Souhaitez-vous l'adoption des "Révisions constitutionnelles XVII - Résidence" ?";0.75;"r";1283005952509087755;1424830966287044678;1424789525493973066;1765722492;604800;1;767059570710413384,452502457684197399:o,1204140730654793751,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692:o,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285,778605583988817971,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:o,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:o,777127599569633310:o,442350609174233100:o,376057817720815628,1405844093237465089:o
16;1449780766593650901;"Souhaitez-vous l'adoption de la "Proposition de loi - Prix spécial du sauvetage de gnocchis" ?";0.5;"l";1283005952509087755;1424830966287044678;1424789525493973066;1765725070;604800;1;767059570710413384,452502457684197399:n,1204140730654793751:o,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,266203842989785089,692717393503453284:o,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285,778605583988817971:o,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:b,756865029067898960:n,581187099252752395,1127299739017285655,626799515688763410:o,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:b,777127599569633310:o,442350609174233100:o,376057817720815628,1405844093237465089:o
17;1449789712272326787;"Souhaitez-vous l'adoption des "Révisions constitutionnelles XVIII - Report des élections du conseil constitutionnel" ?";0.75;"r";1283005952509087755;1424830966287044678;1424789525493973066;1765727203;604800;1;767059570710413384,452502457684197399:n,1204140730654793751:b,1402792961955205240,880162676972585001,1283005952509087755:o,826362651324055572,386892659442057221,946442002558492692,266203842989785089,692717393503453284,1292762566606585858,779843063131930694:o,1365387648080023572,947480095730315285,778605583988817971,670687441291706368:o,688394725237063774,290399324217802753,518833508983111691,516631614319624193,1395746373139431565,322762034007638017:b,756865029067898960:o,581187099252752395,1127299739017285655,626799515688763410:b,1446830974439522399,689192821944877057,330333692008464385,568441353231400960:o,777127599569633310:o,442350609174233100:b,376057817720815628,1405844093237465089:b
